CSMA_CD_episodes,CSMA_CD_low,CSMA_CD_median,CSMA_CD_high,STR_episodes,STR_low,STR_median,STR_high,RR_episodes,RR_low,RR_median,RR_high,NoneBlind_episodes,NoneBlind_low,NoneBlind_median,NoneBlind_high,NoneSeeing_episodes,NoneSeeing_low,NoneSeeing_median,NoneSeeing_high
17750,520.432,551.856,587.252,17750,473.856,505.568,538.54,17750,510.464,545.076,577.084,17750,421.496,453.136,485.892,17750,420.876,451.456,484.7
18000,522.608,555.968,589.884,18000,473.012,504.424,535.416,18000,507.536,539.42,571.144,18000,421.976,453.536,485.796,18000,416.452,452.16,484.572
18250,520.28,554.816,588.284,18250,475.604,508.148,540.028,18250,513.34,545.468,577.92,18250,420.876,452.716,484.568,18250,417.212,447.872,481.052
18500,521.508,557.072,587.344,18500,473.812,505.748,540.508,18500,509.868,544.996,576.98,18500,420.532,450.84,483.912,18500,419.824,450.968,481.088
18750,523.528,555.06,586.344,18750,473.156,508.712,538.592,18750,507.2,538.624,571.356,18750,420.54,453.016,485.532,18750,415.876,450.348,484.076
19000,522.38,555.56,589.64,19000,470.216,505.932,537.232,19000,514.972,546.012,578.376,19000,421.86,450.604,482.636,19000,418.664,448.768,483.372
19250,523.244,554.248,587.48,19250,473.0,506.088,538.468,19250,509.56,542.964,577.132,19250,421.656,452.656,489.36,19250,420.988,455.104,487.588
19500,522.604,552.94,584.1,19500,476.74,513.344,543.816,19500,514.396,545.96,578.592,19500,419.68,454.292,484.712,19500,423.544,454.42,488.708
19750,522.2,552.136,588.288,19750,474.924,504.76,539.044,19750,513.056,543.792,575.98,19750,417.856,454.456,487.444,19750,417.488,451.432,482.88
20000,523.4,554.228,586.144,20000,473.96,506.36,536.78,20000,512.764,545.648,577.9,20000,421.908,452.996,485.808,20000,422.508,453.536,486.228
20250,525.428,556.66,590.54,20250,476.512,506.824,538.5,20250,511.824,544.404,576.736,20250,418.452,450.156,484.92,20250,418.188,452.852,483.484
20500,526.388,558.196,589.708,20500,478.16,511.016,538.24,20500,514.4,547.236,577.428,20500,424.192,458.696,490.932,20500,420.624,453.748,486.296
20750,520.492,555.576,589.292,20750,477.124,509.368,540.204,20750,516.904,545.144,578.388,20750,420.524,454.284,487.344,20750,419.104,448.308,483.368
21000,521.572,555.972,589.42,21000,475.8,509.516,541.852,21000,514.06,546.352,580.664,21000,423.696,454.76,485.964,21000,422.848,453.84,484.336
21250,521.604,554.44,589.308,21250,472.872,506.06,540.056,21250,511.492,544.424,577.928,21250,424.172,455.22,488.176,21250,415.664,446.304,483.66
21500,522.364,554.072,592.512,21500,477.06,510.076,542.268,21500,514.536,545.748,576.968,21500,424.456,457.688,489.564,21500,421.528,453.916,486.876
21750,523.04,556.988,591.152,21750,475.98,507.396,537.468,21750,515.968,550.068,582.288,21750,416.852,449.964,483.908,21750,420.544,451.316,483.392
22000,520.024,553.2,586.856,22000,476.964,508.996,541.908,22000,513.168,546.356,582.064,22000,423.948,457.944,486.512,22000,421.324,452.188,486.212
22250,527.424,559.232,589.908,22250,476.756,507.944,541.112,22250,514.44,545.244,581.016,22250,421.908,453.864,489.14,22250,421.584,454.612,484.856
22500,524.132,555.584,588.34,22500,475.452,507.888,539.604,22500,515.72,548.376,582.084,22500,420.004,453.248,485.844,22500,420.452,452.436,482.824
22750,520.992,553.496,584.324,22750,480.396,509.08,538.796,22750,513.488,544.456,576.908,22750,423.116,450.772,486.432,22750,422.488,454.688,484.656
23000,521.068,554.68,585.888,23000,479.052,509.12,539.884,23000,514.68,544.888,577.576,23000,425.004,458.064,491.236,23000,419.7,453.024,484.492
23250,525.068,555.068,587.836,23250,475.82,512.508,544.124,23250,510.028,545.536,575.06,23250,424.812,453.98,486.896,23250,421.124,451.332,483.104
23500,517.988,550.692,585.36,23500,479.052,507.804,540.528,23500,514.192,547.848,579.184,23500,421.168,455.816,489.28,23500,418.86,450.288,486.132
23750,521.14,554.508,584.572,23750,479.42,511.28,545.484,23750,514.792,546.136,577.636,23750,424.392,455.624,488.376,23750,420.44,453.02,487.176
24000,523.704,556.988,592.952,24000,477.332,507.984,540.7,24000,515.62,546.596,575.764,24000,418.132,452.428,485.848,24000,421.124,452.544,485.88
24250,523.644,553.636,586.316,24250,476.46,508.216,537.672,24250,511.064,546.084,579.484,24250,424.26,453.98,486.672,24250,420.904,452.836,490.26
24500,522.464,554.552,587.104,24500,476.28,510.172,543.452,24500,509.608,544.008,579.04,24500,419.104,452.264,485.904,24500,420.58,451.684,485.74
24750,522.496,554.924,586.664,24750,476.764,511.324,543.844,24750,511.5,546.208,580.18,24750,423.592,455.456,488.996,24750,422.564,455.156,487.3
